the_geom,OBJECTID,X,Y,PLACEID,YEARPLACEID,CITY,STATE,CITYSTATE,YEAR,ASOFDATE,DOCKID,STATIONCT_BIN,DOCKNM,DOCKLESSCT,DOCKLESS_BIN,DOCKLESSNM,SCOOTERCT,SCOOTER_BIN,SCOOTERNM,TYPE,LAT,LON,GEOID,NOTESDOCK,NOTESDOCKLESS,NOTESSCOOTER,DATEDOCKEDLAUNCH,DATEDOCKEDEND,DATESCOOTERLAUNCH,DATESCOOTEREND,DATEDOCKLESSLAUNCH,DATEDOCKLESSEND,DOCKCT,DOCKCT_JUL,STATIONCT_PCT,DOCKNM_JUL,DOCKNM_CAMPUSONLY,DOCKLESSCT_JUL,DOCKLESSNM_JUL,DOCKLESSNM_CAMPUSONLY,SCOOTERCT_JUL,SCOOTERNM_JUL,SCOOTERNM_CAMPUSONLY
POINT (-104.984859999972 39.739199999776),1135,-104.98486,39.7392,CO0042,2023CO0042,Denver,CO,"Denver, CO",2023,202312,,0,,3,3,"Jump (acquired by Lime 05/2020), Lime, Lyft",2,2,"Lime, Lyft",Dockless and e-scooters,39.7392,-104.98486,08031,,,,,,"Aug-18 (Lime), Sep-18 (Lyft)",,"Sep-18 (Jump (acquired by Lime 05/2020)), Nov-18 (Lime), May-21 (Lyft)",,0,0,,,,3,"Jump (acquired by Lime 05/2020), Lime, Lyft",,2,"Lime, Lyft",
POINT (-70.982820000264 42.374999999756),866,-70.98282,42.375,MA00114,2018MA00114,Winthrop,MA,"Winthrop, MA",2018,201812,,0,,1,1,LimeBike,0,0,,Dockless only,42.375,-70.98282,25025,,,,,,,,Jun-18 (LimeBike),Jan-20 (LimeBike),0,0,,,,1,LimeBike,,0,,
POINT (-85.976659999942 41.681899999725),1182,-85.97666,41.6819,IN0084,2018IN0084,Elkhart,IN,"Elkhart, IN",2018,201812,,0,,0,0,,1,1,Lime,E-scooters only,41.6819,-85.97666,18039,,,,,,Nov-18 (Lime),Nov-19 (Lime),,,0,0,,,,0,,,1,Lime,
POINT (-76.886110000219 40.266300000111),454,-76.88611,40.2663,PA00180,2019PA00180,Harrisburg,PA,"Harrisburg, PA",2019,201912,122,4,Harrisburg,0,0,,0,0,,Docked only,40.2663,-76.88611,42043,,,,Oct-17 (Harrisburg),Jun-20 (Harrisburg),,,,,11,11,0.16133764,Harrisburg,,0,,,0,,
POINT (-75.16351999973 39.952699999956),244,-75.16352,39.9527,PA00181,2017PA00181,Philadelphia,PA,"Philadelphia, PA",2017,201712,43,4,Inde'go,0,0,,0,0,,Docked only,39.9527,-75.16352,42101,,,,Apr-15 (Inde'go),,,,,,122,122,1.98956295,Inde'go,,0,,,0,,
POINT (-70.754859999557 43.070200000134),436,-70.75486,43.0702,NH00148,2019NH00148,Portsmouth,NH,"Portsmouth, NH",2019,201912,87,4,Portsmouth,0,0,,0,0,,Docked only,43.0702,-70.75486,33015,,,,May-17 (Portsmouth),Jun-20 (Portsmouth),,,,,10,10,0.14667058,Portsmouth,,0,,,0,,
POINT (-98.230080000157 26.204299999989),258,-98.23008,26.2043,TX00203,2017TX00203,McAllen,TX,"McAllen, TX",2017,201712,28,4,McAllen B-cycle (RGV B-cycle),0,0,,0,0,,Docked only,26.2043,-98.23008,48215,,,,Oct-15 (McAllen B-cycle (RGV B-cycle)),,,,,,8,8,0.13046314,McAllen B-cycle (RGV B-cycle),,0,,,0,,
POINT (-83.176310000328 42.322000000024),319,-83.17631,42.322,MI00127,2018MI00127,Dearborn,MI,"Dearborn, MI",2018,201812,103,4,Dearborn,0,0,,0,0,,Docked only,42.322,-83.17631,26163,,,,Jun-17 (Dearborn),Jun-20 (Dearborn),,,,,14,14,0.19880716,Dearborn,,0,,,0,,
POINT (-74.407370000299 40.63369999976),961,-74.40737,40.6337,NJ00152,2019NJ00152,Plainfield,NJ,"Plainfield, NJ",2019,201912,,0,,1,1,LimeBike,0,0,,Dockless only,40.6337,-74.40737,34039,,,,,,,,Jun-18 (LimeBike),Nov-19 (LimeBike),0,0,,,,1,LimeBike,,0,,
POINT (-84.742050000196 39.510299999922),1349,-84.74205,39.5103,OH00169,2021OH00169,Oxford,OH,"Oxford, OH",2021,202112,,0,,0,0,,1,1,Lime,E-scooters only,39.5103,-84.74205,39017,,,Suspended 03/2020 due to COVID-19; resumed 09/2020 and assumed discontinued operation in 2021 as no data found after 2020 (Lime),,,Oct-18 (Lime),Jan-21 (Lime),,,0,0,,,,0,,,0,,
POINT (-66.111696000003 18.358140000373),1614,-66.111696,18.35814,PR00259,2023PR00259,Guaynabo,PR,"Guaynabo, PR",2023,202312,,0,,0,0,,1,1,Skootel,E-scooters only,18.35814,-66.111696,72061,,,,,,Jun-20 (Skootel),,,,0,0,,,,0,,,1,Skootel,
POINT (-85.182419999652 42.3192000001),214,-85.18242,42.3192,MI00126,2017MI00126,Battle Creek,MI,"Battle Creek, MI",2017,201712,49,3,Battle Creek B-cycle,0,0,,0,0,,Docked only,42.3192,-85.18242,26025,Suspended due to COVID-19 in 2020; remained suspended in 2021 as of 08/2021 (Battle Creek B-cycle),,,Aug-13 (Battle Creek B-cycle),Mar-20 (Battle Creek B-cycle),,,,,4,4,0.06523157,Battle Creek B-cycle,,0,,,0,,
POINT (-71.032819999908 42.391700000265),997,-71.03282,42.3917,MA00100,2020MA00100,Chelsea,MA,"Chelsea, MA",2020,202012,,0,,1,1,LimeBike,0,0,,Dockless only,42.3917,-71.03282,25025,,,,,,,,Jun-18 (LimeBike),Jan-20 (LimeBike),0,0,,,,0,,,0,,
POINT (-72.621369999911 42.105200000049),1439,-72.62137,42.1052,MA00250,2022MA00250,West Springfield,MA,"West Springfield, MA",2022,202212,,0,,0,0,,1,1,Bird,E-scooters only,42.1052,-72.62137,25013,,,,,,May-22 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-95.367689999724 29.758899999711),537,-95.36769,29.7589,TX00201,2020TX00201,Houston,TX,"Houston, TX",2020,202012,17,4,Houston B-cycle,0,0,,0,0,,Docked only,29.7589,-95.36769,48201,,,,May-12 (Houston B-cycle),,,,,,97,97,1.52491747,Houston B-cycle,,0,,,0,,
POINT (-94.818799999737 38.883799999667),1572,-94.8188,38.8838,KS0093,2023KS0093,Olathe,KS,"Olathe, KS",2023,202312,,0,,0,0,,1,1,Bird,E-scooters only,38.8838,-94.8188,20091,,,,,,Jul-22 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-105.066800000191 40.550800000142),736,-105.0668,40.5508,CO0043,2018CO0043,Fort Collins,CO,"Fort Collins, CO",2018,201812,65,4,Fort Collins Bike Share (became PACE dockless in 2018),0,0,,0,0,,Docked only,40.5508,-105.0668,08069,Dock count is from previous year,,,Apr-16 (Fort Collins Bike Share (became PACE dockless in 2018)),Mar-18 (Fort Collins Bike Share (became PACE dockless in 2018)),,,,,20,0,0.28401022,,,0,,,0,,
POINT (-77.096529999745 39.065400000273),1097,-77.09653,39.0654,MD00120,2022MD00120,Montgomery County,MD,"Montgomery County, MD",2022,202212,,0,,1,1,Lime,4,4,"Bird, Lime, Lyft, Spin",Dockless and e-scooters,39.0654,-77.09653,24031,,,,,,"Jun-19 (Bird), Jun-19 (Lime), Jun-19 (Lyft), Jul-20 (Spin)","Jan-22 (Bird), Jan-22 (Lyft), Jan-22 (Spin)",Jun-19 (Lime),,0,0,,,,1,Lime,,1,Lime,
POINT (-71.15644000034 42.415299999739),1010,-71.15644,42.4153,MA0095,2020MA0095,Arlington,MA,"Arlington, MA",2020,202012,,0,,1,1,LimeBike,0,0,,Dockless only,42.4153,-71.15644,25017,,,,,,,,Jun-18 (LimeBike),Jan-20 (LimeBike),0,0,,,,0,,,0,,
POINT (-77.007470000195 38.977800000319),814,-77.00747,38.9778,MD00123,2017MD00123,Takoma Park,MD,"Takoma Park, MD",2017,201712,,0,,1,1,Ofo,0,0,,Dockless only,38.9778,-77.00747,24031,,,,,,,,Oct-17 (Ofo),Jul-18 (Ofo),0,0,,,,1,Ofo,,0,,
POINT (-80.143370000387 26.122299999739),86,-80.14337,26.1223,FL0050,2016FL0050,Fort Lauderdale,FL,"Fort Lauderdale, FL",2016,201612,12,4,Broward B-cycle,0,0,,0,0,,Docked only,26.1223,-80.14337,12011,,,,Dec-11 (Broward B-cycle),,,,,,22,22,0.45063499,Broward B-cycle,,0,,,0,,
POINT (-116.176200000022 33.679399999971),1300,-116.1762,33.6794,CA00334,2021CA00334,Coachella,CA,"Coachella, CA",2021,202112,,0,,0,0,,1,1,Bird,E-scooters only,33.6794,-116.1762,06065,,,Contract to end in 2023 but still serving as of Jun-2023 (Bird),,,May-21 (Bird),,,,0,0,,,,0,,,1,Bird,
